symbol,day,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,shares,stop_price,target_price,risk_per_share,holding_minutes,gross_pnl,commission,reg_fees,net_pnl,r_multiple,relative_volume,or_width,equity_before,equity_after
SPY,2024-07-31 00:00:00-04:00,long,2024-07-31 10:06:00-04:00,536.91468,2024-07-31 11:05:00-04:00,537.674844,time,27,535.71,539.3240399999999,1.2046799999999394,60,20.524428000000853,0.27,0.116137766304,20.138290233696853,0.6191375313345197,1.4571542410372444,1.6399999999999864,58276.43412140569,58296.57241163939
AMZN,2024-07-31 00:00:00-04:00,long,2024-07-31 10:09:00-04:00,186.75447192,2024-07-31 11:08:00-04:00,186.91510404000002,time,78,185.395,189.47341575999994,1.3594719199999759,60,12.529305360002411,0.78,0.11663502492096,11.632670335081452,0.10970200779705223,1.0779406731133538,1.8700000000000045,58296.57241163939,58308.20508197447
NVDA,2024-08-01 00:00:00-04:00,long,2024-08-01 09:46:00-04:00,119.7979,2024-08-01 10:04:00-04:00,117.962796,stop,121,118.00999999999999,123.37370000000001,1.7879000000000076,19,-222.04758400000014,1.21,0.11418798652799998,-223.37177198652816,-1.0325229052900013,1.3430221428267615,3.0400000000000063,58308.20508197447,58084.83330998794
QQQ,2024-08-01 00:00:00-04:00,long,2024-08-01 09:48:00-04:00,469.867872,2024-08-01 10:06:00-04:00,467.78781000000004,stop,30,467.975,473.6536159999999,1.8928719999999544,19,-62.40185999999824,0.3,0.1122690744,-62.81412907439823,-1.1061520813240364,0.9007628858688695,3.1299999999999955,58084.83330998794,58022.01918091354
AMZN,2024-08-01 00:00:00-04:00,long,2024-08-01 09:48:00-04:00,190.47616,2024-08-01 10:21:00-04:00,188.794452,stop,76,188.87,193.68847999999997,1.6061599999999885,34,-127.80980799999895,0.76,0.11478702681599999,-128.68459502681495,-1.054202791512675,1.2660218436749646,2.240000000000009,58022.01918091354,57893.334585886725
META,2024-08-01 00:00:00-04:00,long,2024-08-01 09:54:00-04:00,520.728208,2024-08-01 10:16:00-04:00,513.3995580000001,stop,27,513.605,534.974624,7.123207999999977,23,-197.87354999999798,0.27,0.110894304528,-198.25444430452598,-1.0308216742321645,4.066435619136249,12.909999999999968,57893.334585886725,57695.0801415822
SPY,2024-08-01 00:00:00-04:00,short,2024-08-01 10:10:00-04:00,539.13426,2024-08-01 10:37:00-04:00,536.2071771120003,target,26,540.7049999999999,535.9927800000003,1.570739999999887,28,76.10415508799338,0.26,0.11213992608,75.73201516191337,1.854393352126994,1.1889219788597085,2.3700000000000045,57695.0801415822,57770.81215674411
AMZN,2024-08-02 00:00:00-04:00,short,2024-08-02 09:47:00-04:00,164.948994,2024-08-02 09:50:00-04:00,162.55197679279996,target,87,166.18,162.48698199999998,1.2310060000000078,4,208.5404970264032,0.87,0.114804499824,207.55569252657918,1.9380064883908132,4.108252191025705,2.259999999999991,57770.81215674411,57978.36784927069
META,2024-08-02 00:00:00-04:00,short,2024-08-02 09:53:00-04:00,483.496524,2024-08-02 10:52:00-04:00,480.72221199999996,time,29,491.07500000000005,468.339572,7.578476000000023,60,80.45504800000191,0.29,0.112171193568,80.0528768064339,0.36424790786538835,1.5254975518246459,13.449999999999989,57978.36784927069,58058.42072607712
SPY,2024-08-02 00:00:00-04:00,short,2024-08-02 09:58:00-04:00,521.4113520000001,2024-08-02 10:14:00-04:00,518.2512736224002,target,27,523.095,518.0440560000002,1.6836479999999483,17,85.32211619519774,0.27,0.11262485203200003,84.93949134316574,1.868506413920257,1.9052252567882535,2.909999999999968,58058.42072607712,58143.36021742029
QQQ,2024-08-02 00:00:00-04:00,short,2024-08-02 10:06:00-04:00,442.31300400000003,2024-08-02 11:05:00-04:00,441.036344,time,32,446.245,434.4490120000001,3.9319959999999696,60,40.85312000000158,0.32,0.113232129024,40.41988787097758,0.3212418059347108,1.8652647094413508,5.230000000000018,58143.36021742029,58183.78010529127
NVDA,2024-08-02 00:00:00-04:00,short,2024-08-02 10:09:00-04:00,101.739288,2024-08-02 10:47:00-04:00,104.96696999999999,stop,91,104.925,95.36786400000001,3.185711999999995,39,-293.71906199999887,0.91,0.074066201664,-294.7031282016629,-1.0165689535978117,1.6803703793701095,4.789999999999992,58183.78010529127,57889.07697708961
NVDA,2024-08-05 00:00:00-04:00,long,2024-08-05 09:46:00-04:00,97.779096,2024-08-05 10:45:00-04:00,98.940408,time,77,94.065,105.20728799999999,3.714095999999998,60,89.42102400000073,0.77,0.060947291328,88.59007670867273,0.3097713351340434,2.579130368573146,7.049999999999997,57889.07697708961,57977.66705379828
META,2024-08-05 00:00:00-04:00,long,2024-08-05 09:46:00-04:00,468.03714,2024-08-05 10:45:00-04:00,469.00232400000004,time,25,456.58500000000004,490.94142,11.452139999999986,60,24.12960000000055,0.25,0.09380046480000001,23.78579953520055,0.08307896876985639,1.7580594640551348,17.589999999999975,57977.66705379828,58001.45285333348
AMZN,2024-08-05 00:00:00-04:00,long,2024-08-05 09:46:00-04:00,159.858918,2024-08-05 10:45:00-04:00,160.205892,time,65,155.4,168.77675399999995,4.458917999999983,60,22.55331000000112,0.65,0.08330706384,21.82000293616112,0.07528560804751702,2.95036135155897,7.579999999999984,58001.45285333348,58023.27285626964
SPY,2024-08-05 00:00:00-04:00,long,2024-08-05 09:48:00-04:00,504.611764,2024-08-05 10:47:00-04:00,504.44814,time,28,501.235,511.36529199999995,3.37676399999998,60,-4.581471999999167,0.28,0.11299638336000001,-4.9744683833591665,-0.05261237833617371,5.628163950988653,5.569999999999993,58023.27285626964,58018.29838788629
